Color,Hex,RGB
Red,#FF0000,255-0-0
Green,#00FF00,0-255-0
Blue,#0000FF,0-0-255
Yellow,#FFFF00,255-255-0
Cyan,#00FFFF,0-255-255
Magenta,#FF00FF,255-0-255
Black,#000000,0-0-0
White,#FFFFFF,255-255-255
Orange,#FFA500,255-165-0
Purple,#800080,128-0-128
Brown,#A52A2A,165-42-42
Pink,#FFC0CB,255-192-203
Gray,#808080,128-128-128
Teal,#008080,0-128-128
Navy,#000080,0-0-128
Gold,#FFD700,255-215-0
Silver,#C0C0C0,192-192-192
Bronze,#CD7F32,205-127-50
Lavender,#E6E6FA,230-230-250
Coral,#FF7F50,255-127-80
Turquoise,#40E0D0,64-224-208
Salmon,#FA8072,250-128-114
